站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230706154300,30.1,1025.3,80,189,7.7,1.3,10459.5
58102,20230706154300,9.4,1021.6,95,104,12.4,0.3,10202.7
58118,20230706154300,21.7,1019.6,83,274,7.9,0.7,10458.9
58122,20230706154300,17.4,1018.3,77,212,8.7,1.1,10124.3
58203,20230706154300,8.5,1024.6,25,218,5.1,0.7,10441.9
58215,20230706154300,32.9,1008.7,3,315,7.3,1.4,10248.4
58221,20230706154300,19.9,1002.4,79,166,7.0,0.7,10453.1
58225,20230706154300,4.9,1004.8,78,125,11.1,0.8,10069.8
58236,20230706154300,9.8,1023.7,91,215,9.3,0.9,10050.9
58311,20230706154300,14.4,1017.5,39,265,14.4,0.9,10341.2
58314,20230706154300,21.8,1011.9,67,107,6.8,0.9,10181.1
58319,20230706154300,19.0,1008.7,96,181,9.7,0.3,10440.8
58321,20230706154300,11.1,1015.5,36,1,13.4,1.0,10267.7
58326,20230706154300,7.7,1021.8,50,304,13.6,0.5,10088.4
58336,20230706154300,8.0,1021.4,84,100,4.8,0.5,10393.5
58338,20230706154300,11.8,1007.5,1,118,1.2,1.3,10493.8
58414,20230706154300,31.1,1017.4,79,272,10.2,0.3,10425.3
58419,20230706154300,3.6,1008.8,32,246,6.7,1.4,10467.8
58424,20230706154300,15.5,1016.5,69,325,6.1,0.5,10344.2
58429,20230706154300,11.2,1023.4,47,0,8.4,0.4,10119.0
58436,20230706154300,24.8,1022.3,57,121,2.9,0.2,10159.7
58437,20230706154300,23.3,1024.7,87,232,11.1,0.7,10085.0
58520,20230706154300,18.0,1008.8,44,65,10.0,0.3,10155.2
58531,20230706154300,1.3,1019.2,39,225,7.8,0.2,10095.8
54406,20230706154300,31.4,1010.3,22,32,5.3,1.2,10102.7
54416,20230706154300,18.3,1002.6,19,318,9.5,0.7,10050.2
54511,20230706154300,5.8,1012.3,57,338,0.3,0.8,10140.6
58725,20230706154300,15.5,1017.1,14,309,0.5,0.2,10491.7
58730,20230706154300,13.3,1022.0,42,87,7.3,0.9,10015.3
58731,20230706154300,12.9,1007.3,32,172,13.1,0.4,10272.0
58734,20230706154300,27.7,1024.3,68,245,2.2,0.5,10150.0
58737,20230706154300,27.7,1024.5,19,113,0.6,0.5,10145.8
58744,20230706154300,21.3,1006.3,28,56,10.3,0.5,10268.5
58754,20230706154300,27.8,1006.8,45,347,8.4,1.4,10488.8
58818,20230706154300,11.7,1017.6,26,126,8.0,1.1,10335.1
58820,20230706154300,25.4,1006.6,56,261,5.6,1.5,10228.3
58834,20230706154300,6.4,1003.4,98,207,13.7,0.1,10032.6
58837,20230706154300,29.2,1004.2,61,250,12.2,1.2,10061.1
58843,20230706154300,0.8,1011.0,22,248,7.1,1.5,10002.9
58846,20230706154300,15.3,1015.8,42,267,2.5,1.4,10153.1
58847,20230706154300,33.3,1023.9,76,218,0.3,0.4,10498.5
58911,20230706154300,29.0,1010.6,33,34,7.5,0.7,10040.2
58918,20230706154300,34.7,1014.2,19,208,7.7,0.0,10353.1
58921,20230706154300,15.0,1023.1,59,104,14.2,0.1,10356.1
58926,20230706154300,26.9,1005.4,95,22,2.5,1.2,10454.6
58927,20230706154300,18.0,1017.2,81,160,9.3,0.3,10473.7
58931,20230706154300,22.0,1015.7,80,79,10.4,0.1,10107.6
58933,20230706154300,23.3,1006.8,68,306,4.5,0.6,10405.6
58936,20230706154300,13.9,1023.9,63,128,14.0,0.2,10393.1
58944,20230706154300,6.6,1001.7,79,276,6.6,0.9,10255.0
59113,20230706154300,16.1,1016.4,77,251,2.6,0.6,10091.2
59126,20230706154300,23.3,1014.2,82,146,8.5,0.9,10349.4
59133,20230706154300,28.2,1023.3,98,61,2.2,1.2,10038.2
59134,20230706154300,6.5,1002.0,79,81,8.4,0.3,10326.8
59321,20230706154300,10.0,1018.7,97,301,12.8,1.0,10113.1
52323,20230706154300,5.4,1004.3,3,299,1.0,1.2,10424.4
52418,20230706154300,24.8,1011.5,17,300,9.3,0.1,10442.2
52424,20230706154300,26.8,1006.4,62,353,7.1,1.1,10266.1
52436,20230706154300,30.5,1012.8,89,177,4.2,1.0,10055.6
52446,20230706154300,17.0,1012.3,77,17,4.6,0.0,10451.0
52447,20230706154300,0.9,1008.1,12,287,0.1,1.3,10107.9
52533,20230706154300,34.6,1001.9,48,164,0.3,0.5,10283.1
52546,20230706154300,32.4,1009.8,73,109,9.9,0.7,10034.1
52652,20230706154300,34.1,1000.5,70,4,9.5,1.0,10391.9
52661,20230706154300,24.1,1023.6,47,310,5.7,1.2,10195.0
52674,20230706154300,16.0,1016.8,42,107,11.7,1.4,10290.9
52679,20230706154300,2.0,1016.2,83,216,2.8,1.2,10430.1
52681,20230706154300,27.7,1017.9,36,20,12.4,1.5,10347.8
